strategy,label,weather_metric,coef,p,pct_per_unit,r2,r_season_adj,n,lag_weeks,r,target,n_extreme,rev_gap_eur
S3_forward_lag,Peter Ummels (Brunssum),heat_days,,0.604743685209882,,,,,8.0,-0.04189476809443204,,,
S3_forward_lag,Peter Ummels (Brunssum),workable_days,,0.6049961821543762,,,,,1.0,-0.040937322417546634,,,
S3_forward_lag,Peter Ummels (Brunssum),heat_days,,0.6368935819481909,,,,,5.0,-0.03784102018073982,,,
S3_forward_lag,Peter Ummels (Brunssum),workable_days,,0.6650990743237386,,,,,4.0,-0.03459259601085606,,,
S3_forward_lag,Peter Ummels (Brunssum),workable_days,,0.6743120690647443,,,,,5.0,0.033690307496547243,,,
S3_forward_lag,Peter Ummels (Brunssum),workable_days,,0.6744317857809801,,,,,6.0,0.03378592469101695,,,
S3_forward_lag,Peter Ummels (Brunssum),rain_days,,0.7013460878417395,,,,,2.0,0.03045463636181184,,,
S3_forward_lag,Peter Ummels (Brunssum),frost_days,,0.7231281759438829,,,,,7.0,0.0285893255902356,,,
S3_forward_lag,Peter Ummels (Brunssum),heat_days,,0.7328009821818849,,,,,1.0,0.027027461187388146,,,
S3_forward_lag,Peter Ummels (Brunssum),frost_days,,0.7576767244840749,,,,,5.0,-0.024738247686872734,,,
S3_forward_lag,Peter Ummels (Brunssum),frost_days,,0.788989314427925,,,,,1.0,0.021188181804463236,,,
S3_forward_lag,Peter Ummels (Brunssum),rain_days,,0.7929325615234013,,,,,0.0,0.02071817261172806,,,
S3_forward_lag,Peter Ummels (Brunssum),workable_days,,0.8039485278493677,,,,,8.0,0.02009982197475,,,
S3_forward_lag,Peter Ummels (Brunssum),heat_days,,0.8107199667709751,,,,,0.0,0.018902675684032037,,,
S3_forward_lag,Peter Ummels (Brunssum),rain_days,,0.8590885110936651,,,,,5.0,0.014236217116958308,,,
S3_forward_lag,Peter Ummels (Brunssum),rain_days,,0.8792460721534866,,,,,8.0,0.012302029929543217,,,
S3_forward_lag,Peter Ummels (Brunssum),frost_days,,0.9226416071263805,,,,,4.0,0.0077621971642826155,,,
S3_forward_lag,Peter Ummels (Brunssum),heat_days,,0.9985113836758931,,,,,3.0,-0.00014866255479042853,,,
S4_deseason_detrend,Peter Ummels (Brunssum),frost_days,,0.07061670483898985,,,,,,-0.14198275563313745,,,
S4_deseason_detrend,Peter Ummels (Brunssum),cold_days,,0.10233335057473948,,,,,,-0.1284148981562917,,,
S4_deseason_detrend,Peter Ummels (Brunssum),workable_days,,0.15030232515916328,,,,,,0.11317789203161815,,,
S4_deseason_detrend,Peter Ummels (Brunssum),temp_mean_c,,0.2881266093073371,,,,,,0.08369913279915815,,,
S4_deseason_detrend,Peter Ummels (Brunssum),rain_mm,,0.5015578036399517,,,,,,0.053009215867867054,,,
S4_deseason_detrend,Peter Ummels (Brunssum),windy_days,,0.6091933182873056,,,,,,-0.04033637693010568,,,
S4_deseason_detrend,Peter Ummels (Brunssum),rain_days,,0.6492530290426038,,,,,,0.035887403522921316,,,
S4_deseason_detrend,Peter Ummels (Brunssum),heavy_rain_days,,0.6976825101493619,,,,,,-0.030654571355791818,,,
S4_deseason_detrend,Peter Ummels (Brunssum),heat_days,,0.8372939055919366,,,,,,-0.016208414093870225,,,
S5_activity,Peter Ummels (Brunssum),heat_days,,0.023158913802270246,,,-0.17781163809951864,,,,active_days,,
S5_activity,Peter Ummels (Brunssum),workable_days,,0.039246949664239576,,,0.161656492312403,,,,active_days,,
S5_activity,Peter Ummels (Brunssum),frost_days,,0.04853719824519529,,,-0.1547674867741269,,,,invoice_lines,,
S5_activity,Peter Ummels (Brunssum),frost_days,,0.05023991966628328,,,-0.15362646104547684,,,,active_days,,
S5_activity,Peter Ummels (Brunssum),rain_days,,0.4147267406378215,,,0.06431179482954519,,,,active_days,,
S5_activity,Peter Ummels (Brunssum),workable_days,,0.49836723691121865,,,0.05340464764056892,,,,invoice_lines,,
S5_activity,Peter Ummels (Brunssum),rain_days,,0.569316266048835,,,0.04489514751908072,,,,invoice_lines,,
S5_activity,Peter Ummels (Brunssum),windy_days,,0.6581094929939779,,,0.03491937881067587,,,,invoice_lines,,
S5_activity,Peter Ummels (Brunssum),heat_days,,0.6625423676070934,,,0.03443681718120141,,,,invoice_lines,,
S5_activity,Peter Ummels (Brunssum),windy_days,,0.8064442362972769,,,-0.019338144462820183,,,,active_days,,
S6_extreme,Peter Ummels (Brunssum),workable_days,,0.2992,,,,,,,,38.0,-13529.0
S6_extreme,Peter Ummels (Brunssum),rain_mm,,0.3546,,,,,,,,17.0,63207.0
S6_extreme,Peter Ummels (Brunssum),frost_days,,0.3913,,,,,,,,22.0,-24476.0
S6_extreme,Peter Ummels (Brunssum),heat_days,,0.7356,,,,,,,,26.0,28805.0
S1_fixed_effects,Gilde GB (Valkenswaard),workable_days,0.08100796495467347,0.20135571931735674,8.437953356619744,0.17899835228206007,,,,,,,
S1_fixed_effects,Gilde GB (Valkenswaard),cold_days,-0.13984448378651157,0.2907832345748963,-13.050655478687334,0.18953496109003265,,,,,,,
S1_fixed_effects,Gilde GB (Valkenswaard),windy_days,0.2506097054281442,0.2920058782542426,28.480853266494254,0.17146310920118202,,,,,,,
