company,res,season,lag,split,n,r,p,impact_pct,config,factors
ummels,weekly,True,0,33,178,-0.03705247572851063,0.623406939164591,-6.344360191131382,frost=-3,{'frost': -3}
ummels,weekly,True,0,33,178,-0.08274578678205896,0.27217262397722414,-3.5934681119024092,frost=-2,{'frost': -2}
ummels,weekly,True,0,33,178,-0.08620602935293513,0.25255720130505144,-13.428945691686112,frost=-1,{'frost': -1}
ummels,weekly,True,0,33,178,-0.13961183118869552,0.0630775459301101,-25.8763027083566,frost=0,{'frost': 0}
ummels,weekly,True,0,33,178,-0.15613681603045315,0.03741280343446026,-35.027476056868636,frost=1,{'frost': 1}
ummels,weekly,True,0,33,178,-0.2086672089848446,0.005186901130356598,-35.03429592292514,frost=2,{'frost': 2}
ummels,weekly,True,0,33,178,-0.20827088797529972,0.00527466764296657,-33.47225541394449,frost=3,{'frost': 3}
ummels,weekly,True,0,33,178,-0.10017034992161916,0.18339565709319422,8.003269442410366,cold=2,{'cold': 2}
ummels,weekly,True,0,33,178,-0.1443025126584537,0.05463819930734082,-28.313903616238346,cold=4,{'cold': 4}
ummels,weekly,True,0,33,178,-0.11092107541322305,0.14048213865810305,-35.962931902420856,cold=6,{'cold': 6}
ummels,weekly,True,0,33,178,-0.09355453418350976,0.21419761857473393,-19.50926252555407,cold=8,{'cold': 8}
ummels,weekly,True,0,33,178,0.008919492311398013,0.905937059539128,-27.234954602370887,cold=10,{'cold': 10}
ummels,weekly,True,0,33,178,0.02281204821160895,0.7624646991466085,24.022285029465664,heat=24,{'heat': 24}
ummels,weekly,True,0,33,178,0.010654427713639388,0.8877511834166272,10.794474986451608,heat=26,{'heat': 26}
ummels,weekly,True,0,33,178,0.08246358116866864,0.2738167827447101,-7.2875033700110725,heat=28,{'heat': 28}
ummels,weekly,True,0,33,178,0.13999866277399148,0.062343387203159226,-1.8785787473179272,heat=30,{'heat': 30}
ummels,weekly,True,0,33,178,0.025344555694626954,0.7370139780184055,-8.37794638014946,heat=32,{'heat': 32}
ummels,weekly,True,0,33,178,-0.08041689625940654,0.2859422192567516,-11.856604045981978,wind=25,{'wind': 25}
ummels,weekly,True,0,33,178,-0.0900946889570546,0.23170497861933692,-9.477054827242359,wind=30,{'wind': 30}
ummels,weekly,True,0,33,178,-0.07676132094807368,0.30848219883584144,6.52827436133776,wind=35,{'wind': 35}
ummels,weekly,True,0,33,178,-0.06984168415681181,0.3542530626507487,-7.891663653670122,wind=40,{'wind': 40}
ummels,weekly,True,0,33,178,0.013510666467718672,0.8579431990311995,18.397011283389908,rain=1,{'rain': 1}
ummels,weekly,True,0,33,178,-0.05151875500645972,0.49463394404476774,-4.337368132055019,rain=2,{'rain': 2}
ummels,weekly,True,0,33,178,-0.035591617104017516,0.6371727561034279,-4.184156545696249,rain=3,{'rain': 3}
ummels,weekly,True,0,33,178,0.0013725591734556025,0.9854926912727137,-2.2037603034841924,rain=5,{'rain': 5}
ummels,weekly,True,0,33,178,0.031982632943888374,0.6717089294376224,12.416061461527118,rain=8,{'rain': 8}
ummels,weekly,True,0,33,178,-0.15871133879503402,0.03434601482363991,-28.313903616238346,cold+frost,"{'frost': 0, 'cold': 5}"
ummels,weekly,True,0,33,178,-0.07629458337929378,0.3114417166236797,-16.32028885797222,all-bad,"{'rain': 1, 'frost': 0, 'heat': 28, 'wind': 40}"
ummels,weekly,True,0,33,178,-0.1385242429769428,0.06517968930975412,-16.74611228489735,frost+wind,"{'frost': 0, 'wind': 40}"
ummels,weekly,True,1,33,177,-0.008248265519127732,0.9132339111536856,-6.026873748343897,frost=-3,{'frost': -3}
ummels,weekly,True,1,33,177,-0.0185444470633444,0.80646351948117,8.908846383980261,frost=-2,{'frost': -2}
ummels,weekly,True,1,33,177,-0.04676756034748905,0.5364884254488552,-13.680279521023486,frost=-1,{'frost': -1}
ummels,weekly,True,1,33,177,-0.03355972421444678,0.6574441696920491,-23.167195352188642,frost=0,{'frost': 0}
ummels,weekly,True,1,33,177,-0.045638536907241595,0.5463798628898198,-30.728388108525518,frost=1,{'frost': 1}
ummels,weekly,True,1,33,177,-0.020666347693920176,0.7848309416012268,-30.728388108525518,frost=2,{'frost': 2}
ummels,weekly,True,1,33,177,-0.00503159021425489,0.9470059635324923,-30.728388108525518,frost=3,{'frost': 3}
ummels,weekly,True,1,33,177,-0.035554707490408434,0.6384823824185185,6.5847906716588245,cold=2,{'cold': 2}
ummels,weekly,True,1,33,177,-0.05721510891625187,0.4493949027684105,-30.728388108525518,cold=4,{'cold': 4}
ummels,weekly,True,1,33,177,0.02462700922674081,0.7449018120799655,-33.60742449929523,cold=6,{'cold': 6}
ummels,weekly,True,1,33,177,0.013070416851446751,0.8629140404313431,-26.801358405972298,cold=8,{'cold': 8}
ummels,weekly,True,1,33,177,0.004969352024767139,0.9476605337727309,-20.48716982491604,cold=10,{'cold': 10}
ummels,weekly,True,1,33,177,0.010815219049713224,0.8863913999630394,-24.260564958437804,heat=24,{'heat': 24}
ummels,weekly,True,1,33,177,0.05212947849797078,0.49076507261491853,11.488959098506779,heat=26,{'heat': 26}
ummels,weekly,True,1,33,177,0.10224461027902534,0.17567579552165286,15.238844637224602,heat=28,{'heat': 28}
ummels,weekly,True,1,33,177,0.07261582129831491,0.33679635214648274,4.8395107289223915,heat=30,{'heat': 30}
ummels,weekly,True,1,33,177,0.09792028169484103,0.19475757575823044,-2.3223228698368126,heat=32,{'heat': 32}
ummels,weekly,True,1,33,177,-0.0696260104746915,0.3571189089478707,29.31734430542432,wind=25,{'wind': 25}
ummels,weekly,True,1,33,177,-0.06807741671887156,0.3679398557103551,5.487791592579194,wind=30,{'wind': 30}
ummels,weekly,True,1,33,177,-0.06760577114968694,0.37127531899306015,1.2832669020312437,wind=35,{'wind': 35}
ummels,weekly,True,1,33,177,-0.015324719961125883,0.8395653491796935,-29.517202873791724,wind=40,{'wind': 40}
ummels,weekly,True,1,33,177,-0.005677895170382839,0.9402108348671704,44.21512444633362,rain=1,{'rain': 1}
ummels,weekly,True,1,33,177,-0.013514698492733396,0.8583023711847912,37.74038880289379,rain=2,{'rain': 2}
ummels,weekly,True,1,33,177,0.00926682321549961,0.9025694272684452,16.772252985293747,rain=3,{'rain': 3}
ummels,weekly,True,1,33,177,-0.014730337334238059,0.8457088970202511,-1.655399163108262,rain=5,{'rain': 5}
ummels,weekly,True,1,33,177,-0.06233349322108343,0.4098149212663814,-6.047743522528915,rain=8,{'rain': 8}
ummels,weekly,True,1,33,177,0.036837199741224805,0.6264142644747795,-26.98562510874003,cold+frost,"{'frost': 0, 'cold': 5}"
ummels,weekly,True,1,33,177,-0.032273217130844724,0.6697900342856971,-17.546042612100056,all-bad,"{'rain': 1, 'frost': 0, 'heat': 28, 'wind': 40}"
ummels,weekly,True,1,33,177,-0.041372073229527656,0.584547763456849,-26.880539948479754,frost+wind,"{'frost': 0, 'wind': 40}"
