weather_metric,lag_weeks,n_weeks,pearson_r,pearson_p,spearman_r,spearman_p
frost_days,0,172,-0.2730634762392087,0.00028985325255428046,-0.2656002986797548,0.00042931109468228516
cold_days,0,172,-0.26451392078110136,0.0004541483842038519,-0.23618877156813267,0.00181310264885856
rain_days,1,171,-0.1510202069969879,0.048645688652298846,-0.16699585344700046,0.029029139339485754
cold_days,1,171,-0.14600637951420792,0.05671492059644826,-0.18068934672881817,0.018030584451532897
temp_mean_c,0,172,0.13691012763927082,0.07330784366654497,0.14879460498310104,0.05140879160607984
frost_days,1,171,-0.12937722502711183,0.09169694867360711,-0.11340424598967035,0.1397173221450955
frost_days,2,170,-0.11671451246778983,0.12958798120660575,-0.11958746108922752,0.12035018548778637
cold_days,2,170,-0.1133405209260511,0.14112273188774935,-0.10825134537956016,0.15997842442944327
heavy_rain_days,1,171,-0.10912666041490379,0.15537596397842154,-0.1194310227444175,0.11973604562596957
rain_mm,1,171,-0.10608946254917803,0.16727128565026775,-0.1175742798196803,0.12564012754697026
temp_mean_c,2,170,0.08587425331482587,0.2655106302923927,0.10286266312889644,0.1819373876101326
temp_mean_c,1,171,0.07610863018624917,0.32247454018743443,0.0981165448984138,0.2017037629946885
frost_days,4,168,-0.06866700315373356,0.37646652217566734,-0.040095063645583316,0.605841177361818
cold_days,4,168,-0.06785960663566931,0.38211706678963775,-0.08592177680797448,0.2681175522485395
temp_mean_c,4,168,0.042119660857517845,0.5877510763958743,0.06670762471485504,0.39026785155309884
rain_days,4,168,-0.03118049510172538,0.6882540239361744,-0.01862144224640925,0.8106556925888599
heavy_rain_days,2,170,0.029687535188820863,0.7007509243462668,0.11237994993541964,0.14454562002638024
rain_mm,0,172,0.0273234822592903,0.7219921757445319,0.043148152448679734,0.5741036052460678
rain_mm,4,168,-0.027587545089533802,0.7226095581944166,-0.03190807481186613,0.681371209021724
rain_days,0,172,0.023349593924517166,0.7611008084210059,0.0323309168060326,0.673730081895053
heavy_rain_days,0,172,0.022151881845601747,0.7730128753368726,0.055214627479180184,0.47189337785455887
rain_days,2,170,-0.011350564086564513,0.8832061411646561,0.04373189313563704,0.571218217169982
rain_mm,2,170,-0.005531013271555772,0.9429329165653562,0.07696075086512923,0.31851100315543684
heavy_rain_days,4,168,-0.0013618795073145479,0.9860216239409546,0.022339012416086903,0.7737901438416463
